experiment,display_name,class_id,class_name,n,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50-95_mean,mAP50-95_std
rtdetr,RT-DETR-L,0,Damper - Spiral,3,0.9056762924647173,0.014240805172620068,0.8119399809098188,0.011820216378591005,0.8396913013844405,0.010072251923262549,0.6678948809714622,0.012426016782770506
rtdetr,RT-DETR-L,1,Damper - Stockbridge,3,0.8948560687124071,0.004907013139350881,0.9248622266695965,0.0058845148775082705,0.9493630014182352,0.0046116188918138125,0.7422935786950057,0.004507684610894614
rtdetr,RT-DETR-L,2,Glass Insulator,3,0.8672273209249759,0.007104927494054801,0.8660748833929416,0.02138815741162126,0.9027603975367318,0.011272949734150337,0.7073841601268603,0.015183013031146848
rtdetr,RT-DETR-L,3,Lightning Rod Suspension,3,0.9669173911503367,0.010738079981588837,0.9258568615442625,0.00501589482393758,0.9364127517436418,0.005561987222706287,0.728974636180826,0.007883764504443086
rtdetr,RT-DETR-L,4,Polymer Insulator,3,0.8651228063802352,0.0010262267754350435,0.9256349843756096,0.0036303018789376083,0.9136431261844506,0.001246706373761688,0.786997871499652,0.009344521838624427
rtdetr,RT-DETR-L,5,Polymer Insulator Shackle,3,0.8894968057127504,0.007060572782531144,0.8363835234117125,0.011765868363165097,0.8993449079831294,0.007984794056657042,0.618723545723232,0.013191740812720133
rtdetr,RT-DETR-L,6,Vari-Grip,3,0.9513990595259895,0.015597980973481832,0.9569386411412841,0.003311360218467195,0.9682699689308227,0.005468542293918231,0.757314650312644,0.007734766298038451
rtdetr,RT-DETR-L,7,Yoke,3,0.8945750866374225,0.0052885695994144884,0.8860193614724181,0.006862146541648206,0.9272239602410066,0.005678544784095956,0.7140426772504606,0.0033697320391870844
rtdetr,RT-DETR-L,8,Bird Nest,3,0.9895606584313351,0.0007795578398044106,0.9841287844545202,0.0015247988192441987,0.9943634614606277,9.757791403096809e-05,0.9593247790644317,0.001079933599608215
rtdetr,RT-DETR-L,9,Plastic Bag,3,0.884238700903752,0.00862463165344267,0.8414746587640232,0.010462490747664917,0.8957646853490581,0.003651546319238029,0.799616245694797,0.0040574443544510235
rtdetr,RT-DETR-L,10,Fluttering Object,3,0.9452128029112588,0.003278935621645902,0.9250849552054371,0.0028313720697904442,0.9618208870502587,0.0008508146573101377,0.8730464815734652,0.002839412003629326
rtdetr,RT-DETR-L,11,Balloon,3,0.8768625468193333,0.006567098262595524,0.837881896636977,0.0042014242385520414,0.8947803715351073,0.004702557132013503,0.7229233946691404,0.004331448182226254
rtdetr,RT-DETR-L,12,Broken Power Lines,3,0.7172033222998851,0.009798676422993006,0.5310376820166135,0.017761827906381582,0.580038596441186,0.007212765524615221,0.23887694581046964,0.007914708956707116
rtdetr,RT-DETR-L,13,Broken Insulator,3,0.9979421500607598,0.0029067598018804332,0.9971236019102728,0.004982067634201525,0.9947860962566846,0.00037049215135155096,0.41012138787972324,0.06383749475582384
yolo26,YOLO26-L,0,Damper - Spiral,3,0.9013657160945083,0.04297734134225372,0.753298673489441,0.012816287632773518,0.8175021812164829,0.01649320217417606,0.6415282422625248,0.012559391068704228
